Model,Setting,Accuracy_mean,Accuracy_std,ROC_AUC_mean,ROC_AUC_std
Logistic Regression,baseline,0.8076807830946791,0.006097732252991248,0.9051795427945134,0.002986716624805395
Logistic Regression,class_weight=balanced,0.8110994146631831,0.006312444014280752,0.905086724596852,0.0030169249112511672
Random Forest,baseline,0.8123364926088825,0.005509717915209646,0.9054538774879368,0.0033161951696828876
Random Forest,class_weight=balanced,0.8098630245709184,0.004114662822411166,0.9052569556887338,0.003379367254843896
SVM,baseline,0.8124089553225966,0.008735358506389339,0.8941935871214615,0.0030504374695894698
SVM,class_weight=balanced,0.8059354608287311,0.00607816002954979,0.89635957930093,0.003912349586189734
