Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8032727272727272,0.715702479338843,0.8146754468485419,0.7619885613726353,0.9040167157294369
Random Forest,0.8229090909090909,0.8096774193548387,0.7083725305738476,0.755644756648269,0.9102756344376592
SVM,0.8072727272727273,0.7051578137028484,0.8617121354656632,0.7756138865368333,0.9015324424894926
Logistic Regression (SMOTE),0.8029090909090909,0.7165419783873649,0.8109125117591721,0.7608120035304502,0.903335840841452
Random Forest (SMOTE),0.8029090909090909,0.7172643869891576,0.8090310442144873,0.7603890362511052,0.9015185015622202
SVM (SMOTE),0.7989090909090909,0.7011041009463722,0.8363123236124177,0.7627627627627628,0.8875996009548976
